Timestamp,Age,Gender,Hometown (include only state and city),Major/majors,favorite genre #1,favorite genre #2,favorite genre #3,Who is your favorite artist(s)?,How many hours per day do you listen to music? ,Do you play any instrument,What instrument do you play?,Are you an introvert or extrovert? ,What are your hobbies? If it's more than one please put commas in between your responses. ,What is/are your favorite color(s)? 
2/20/2024 19:11:17,24,Male,"CA, Lake Forest",Cognitive Science,rock,punk,heavy metal,Guns N Roses,3,Yes,"guitar, piano, drums",Introvert,"Cooking, gardening","Blue, Green"
2/20/2024 19:33:29,20,Male,Pomona CA,Electrical engineering ,reggaeton,hiphop/rap,R&B,Gente de Zona,1,No,,Extrovert,"Working out, playing video games, playing volleyball  & basketball ",Blue
2/20/2024 19:43:27,21,Female,"Guadalajara, Jalisco ",Biochem ,pop,reggaeton,rock,The lumineers ,2,Yes,"guitar, piano",Extrovert,"Soccer, playing guitar, reading, surfing, watching tv ",Blue
2/20/2024 23:17:27,20,Female,"San Diego, CA",Psychology & biochem ,hiphop/rap,folk,reggaeton,"Drake, Gregory Alan Isakov, SZA, Zach Bryan, Brent Faiyaz",10,Yes,"guitar, piano",Extrovert,"Surf, sing, read, write, gym ","Pink, Green, White"
2/20/2024 23:31:30,20,Male,Bakersfield California,Computer Science,rock,heavy metal,house,Deftones,3,Yes,"guitar, piano, drums",Introvert,"Guitar, Drawing","Red, Green, Black"
2/21/2024 10:02:32,21,Male,"Hermosillo, Sonora",Computer Engineering ,reggae,pop,hiphop/rap,Quevedo,4,No,,Extrovert,"Tennis, Padel, running",Red
2/21/2024 10:57:31,21,Female,"North Hills,California ",Mechanical engineering ,k-pop,Banda,pop,"Blackpink , (G)-idle, red velvet ",4,No,,Introvert,To watch tv shows and skateboard,Purple
2/21/2024 11:17:22,20,Male,"San Diego, California",Computer Science,pop,rock,hiphop/rap,"Travis Scott, Taylor Swift, Elton John",6,Yes,piano,Extrovert,"Playing Ice Hockey, piano, hiking, traveling, reading, cooking",Blue
2/21/2024 11:57:50,20,Female,San francisco,Cognitive science design and interaction ,R&B,k-pop,pop,Kehlani,2?,No,,Introvert,"Drawing, hanging out with friends","Yellow, Green"
2/21/2024 12:13:53,21,Male,"Belo Horizonte, MG",International business ,EDM,country,house,Vintage culture ,3,Yes,"drums, Saxophone ",Extrovert,Videogames,Blue
2/21/2024 14:35:39,21,Female,Portland OR,Cognitive Science Neuroscience,hiphop/rap,rock,pop,Amine,4,No,,Introvert,"Reading, dance, crochet, jiu jitsu","Pink, Green"
